单阿	lo a
单您	lo nin
单宁	lo ning
单牛	lo niu
单农	lo nong
单耨	lo nou
单努	lo nu
单暖	lo nuan
单黁	lo nun
单诺	lo nuo
单女	lo nv
单虐	lo nve
单哦	lo o
单欧	lo ou
单怕	lo pa
单牌	lo pai
单判	lo pan
单旁	lo pang
单跑	lo pao
单配	lo pei
单喷	lo pen
单鹏	lo peng
单批	lo pi
单片	lo pian
单票	lo piao
单瞥	lo pie
单品	lo pin
单平	lo ping
单破	lo po
单剖	lo pou
单普	lo pu
单企	lo qi
单恰	lo qia
单前	lo qian
单强	lo qiang
单桥	lo qiao
单切	lo qie
单亲	lo qin
单情	lo qing
单穷	lo qiong
单求	lo qiu
单区	lo qu
单全	lo quan
单确	lo que
单群	lo qun
单然	lo ran
单让	lo rang
单绕	lo rao
单热	lo re
单人	lo ren
单仍	lo reng
单日	lo ri
单容	lo rong
单肉	lo rou
单入	lo ru
单挼	lo rua
单软	lo ruan
单瑞	lo rui
单润	lo run
单若	lo ruo
单萨	lo sa
单赛	lo sai
单三	lo san
单桑	lo sang
单扫	lo sao
单色	lo se
单森	lo sen
单僧	lo seng
单沙	lo sha
单筛	lo shai
单山	lo shan
单上	lo shang
单少	lo shao
单设	lo she
单谁	lo shei
单深	lo shen
单生	lo sheng
单是	lo shi
单收	lo shou
单术	lo shu
单刷	lo shua
单衰	lo shuai
单栓	lo shuan
单双	lo shuang
单水	lo shui
单顺	lo shun
单说	lo shuo
单司	lo si
单松	lo song
单艘	lo sou
单速	lo su
单算	lo suan
单随	lo sui
单损	lo sun
单所	lo suo
单他	lo ta
单台	lo tai
单谈	lo tan
单堂	lo tang
单套	lo tao
单特	lo te
单忒	lo tei
单腾	lo teng
单体	lo ti
单天	lo tian
单条	lo tiao
单铁	lo tie
单听	lo ting
单同	lo tong
单投	lo tou
单土	lo tu
单团	lo tuan
单推	lo tui
单吞	lo tun
单托	lo tuo
单瓦	lo wa
单外	lo wai
单万	lo wan
单王	lo wang
单为	lo wei
单文	lo wen
单翁	lo weng
单我	lo wo
单务	lo wu
单系	lo xi
单下	lo xia
单现	lo xian
单向	lo xiang
单小	lo xiao
单些	lo xie
单新	lo xin
单行	lo xing
单雄	lo xiong
单修	lo xiu
单需	lo xu
单宣	lo xuan
单学	lo xue
单讯	lo xun
单亚	lo ya
单研	lo yan
单样	lo yang
单要	lo yao
单业	lo ye
单一	lo yi
单因	lo yin
单应	lo ying
单哟	lo yo
单用	lo yong
单有	lo you
单于	lo yu
单元	lo yuan
单月	lo yue
单云	lo yun
单杂	lo za
单在	lo zai
单赞	lo zan
单脏	lo zang
单早	lo zao
单责	lo ze
单贼	lo zei
单怎	lo zen
单增	lo zeng
单扎	lo zha
单债	lo zhai
单展	lo zhan
单张	lo zhang
单照	lo zhao
单者	lo zhe
单这	lo zhei
单镇	lo zhen
单政	lo zheng
单制	lo zhi
单中	lo zhong
单州	lo zhou
单主	lo zhu
单抓	lo zhua
单拽	lo zhuai
单专	lo zhuan
单装	lo zhuang
单追	lo zhui
单准	lo zhun
单桌	lo zhuo
单资	lo zi
单总	lo zong
单走	lo zou
单组	lo zu
单钻	lo zuan
单最	lo zui
单尊	lo zun
单作	lo zuo
