咖喱	ga'li
暖和	nuan'huo
哽咽	geng'ye
着火	zhao'huo
动弹	dong'tan
没落	mo'luo
嗅觉	xiu'jue
着迷	zhao'mi
终了	zhong'liao
幻觉	huan'jue
磅礴	pang'bo
重装	chong'zhuang
未了	wei'liao
圈养	juan'yang
闭塞	bi'se
鼻塞	bi'se
错觉	cuo'jue
梗塞	geng'se
觉察	jue'cha
绰号	chuo'hao
匀称	yun'chen
今朝	jin'zhao
呢喃	ni'nan
重围	chong'wei
重写	chong'xie
重整	chong'zheng
浅薄	qian'bo
重发	chong'fa
稀薄	xi'bo
弹跳	tan'tiao
咋舌	ze'she
露脸	lou'lian
味觉	wei'jue
正传	zheng'zhuan
重合	chong'he
刻薄	ke'bo
列传	lie'zhuan
了断	liao'duan
了然	liao'ran
藏獒	zang'ao
弹奏	tan'zou
吞没	tun'mo
重提	chong'ti
埋没	mai'mo
搪塞	tang'se
先觉	xian'jue
这得	zhe'dei
崆峒	kong'tong
重获	chong'huo
抹布	ma'bu
重设	chong'she
重读	chong'du
地壳	di'qiao
末了	mo'liao
没入	mo'ru
差事	chai'shi
盛满	cheng'man
挟持	xie'chi
顿觉	dun'jue
公差	gong'chai
猪圈	zhu'juan
厚薄	hou'bo
躯壳	qu'qiao
重放	chong'fang
血泊	xue'po
弹劾	tan'he
小传	xiao'zhuan
弹唱	tan'chang
语塞	yu'se
曾孙	zeng'sun
重婚	chong'hun
掺和	chan'huo
扒手	pa'shou
邮差	you'chai
隐没	yin'mo
露头	lou'tou
果脯	guo'fu
薄命	bo'ming
反扒	fan'pa
露馅	lou'xian
脱壳	tuo'qiao
钦差	qin'chai
传略	zhuan'lue
藏文	zang'wen
藏语	zang'yu
藏袍	zang'pao
弹射	tan'she
交差	jiao'chai
重聚	chong'ju
烧着	shao'zhao
勒紧	lei'jin
阔绰	kuo'chuo
哪吒	ne'zha
内传	nei'zhuan
拥塞	yong'se
测度	ce'duo
绵薄	mian'bo
丑角	chou'jue
差人	chai'ren
着魔	zhao'mo
重唱	chong'chang
胳臂	ge'bei
扒窃	pa'qie
憎恶	zeng'wu
扁舟	pian'zhou
充塞	chong'se
苦差	ku'chai
乱弹	luan'tan
名角	ming'jue
信差	xin'chai
新传	xin'zhuan
浸没	jin'mo
薄情	bo'qing
当差	dang'chai
朝霞	zhao'xia
羊圈	yang'juan
拗口	ao'kou
别传	bie'zhuan
着笔	zhuo'bi
得空	dei'kong
痛觉	tong'jue
套色	tao'shai
揣度	chuai'duo
小曾	xiao'zeng
软和	ruan'huo
没顶	mo'ding
曾祖	zeng'zu
袅娜	niao'nuo
咋呼	zha'hu
着忙	zhao'mang
猜度	cai'duo
盛饭	cheng'fan
归降	gui'xiang
露富	lou'fu
重码	chong'ma
的姐	di'jie
打的	da'di
的士	di'shi
好恶	hao'wu
露底	lou'di
露丑	lou'chou
露出	lou'chu
面的	mian'di
执着	zhi'zhuo
提防	di'fang
投降	tou'xiang
传记	zhuan'ji
沉没	chen'mo
重逢	chong'feng
着了	zhao'le
私了	si'liao
雪茄	xue'jia
单薄	dan'bo
一朝	yi'zhao
出没	chu'mo
知了	zhi'liao
弹琴	tan'qin
藏独	zang'du
要挟	yao'xie
知觉	zhi'jue
游说	you'shui
微薄	wei'bo
了结	liao'jie
什锦	shi'jin
淡薄	dan'bo
单于	chan'yu
呜咽	wu'ye
搅和	jiao'huo
口角	kou'jue
屏息	bing'xi
亲家	qing'jia
的卢	di'lu
胶着	jiao'zhuo
薄雾	bo'wu
总觉	zong'jue
湮没	yan'mo
色子	shai'zi
惊觉	jing'jue
降龙	xiang'long
着凉	zhao'liang
重置	chong'zhi
降服	xiang'fu
重述	chong'shu
弹起	tan'qi
轧死	ya'si
重审	chong'shen
降伏	xiang'fu
着意	zhuo'yi
后传	hou'zhuan
朝露	zhao'lu
女红	nv'gong
又得	you'dei
正着	zheng'zhao
倾轧	qing'ya
勒死	lei'si
封禅	feng'shan
重做	chong'zuo
差遣	chai'qian
劝降	quan'xiang
公了	gong'liao
禅让	shan'rang
降魔	xiang'mo
差使	chai'shi
评弹	ping'tan
奇数	ji'shu
不着	bu'zhao
着墨	zhuo'mo
重名	chong'ming
婀娜	e'nuo
官差	guan'chai
叔伯	shu'bai
纤夫	qian'fu
刨冰	bao'bing
露怯	lou'qie
薄暮	bo'mu
薄幸	bo'xing
重洋	chong'yang
弹弹	tan'tan
美差	mei'chai
诈降	zha'xiang
降将	xiang'jiang
命薄	ming'bo
吁请	yu'qing
鄙薄	bi'bo
屏气	bing'qi
所恶	suo'wu
甲壳	jia'qiao
辱没	ru'mo
旦角	dan'jue
填塞	tian'se
毛呢	mao'ni
重排	chong'pai
老朴	lao'piao
菲薄	fei'bo
重会	chong'hui
解数	xie'shu
了账	liao'zhang
失着	shi'zhao
只觉	zhi'jue
该着	gai'zhao
淤塞	yu'se
左传	zuo'zhuan
忖度	cun'duo
薄利	bo'li
稽首	qi'shou
宽绰	kuan'chuo
拉纤	la'qian
挟制	xie'zhi
抹脸	ma'lian
薄面	bo'mian
弹压	tan'ya
薄酒	bo'jiu
重孙	chong'sun
幽咽	you'ye
违拗	wei'ao
重版	chong'ban
裹挟	guo'xie
重连	chong'lian
色觉	se'jue
瘠薄	ji'bo
着慌	zhao'huang
说客	shui'ke
壅塞	yong'se
刨花	bao'hua
诱降	you'xiang
薄礼	bo'li
曾巩	zeng'gong
中的	zhong'di
弹词	tan'ci
地说	de'shuo
重霄	chong'xiao
点着	dian'zhao
抄没	chao'mo
尿泡	sui'pao
重试	chong'shi
我得	wo'dei
栓塞	shuan'se
扒灰	pa'hui
姓曾	xing'zeng
姓单	xing'shan
姓解	xing'xie
姓朴	xing'piao
朴刀	po'dao
薄葬	bo'zang
吓着	xia'zhao
陷没	xian'mo
拗断	ao'duan
交恶	jiao'wu
卖解	mai'xie
拶指	zan'zhi
了了	liao'liao
朝阳	zhao'yang
露着	lou'zhe
攒机	cuan'ji
可得	ke'dei
咯血	ka'xue
布什	bu'shi
老曾	lao'zeng
小朴	xiao'piao
验血	yan'xie
不得了	bu'de'liao
不停地	bu'ting'de
随意地	sui'yi'de
不断地	bu'duan'de
了不起	liao'bu'qi
慢慢地	man'man'de
差旅费	chai'lv'fei
了不得	liao'bu'de
二重奏	er'chong'zou
深情地	shen'qing'de
渐渐地	jian'jian'de
完整地	wan'zheng'de
过早地	guo'zao'de
紧张地	jin'zhang'de
清醒地	qing'xing'de
静静地	jing'jing'de
真诚地	zhen'cheng'de
详细地	xiang'xi'de
水浒传	shui'hu'zhuan
血淋淋	xie'lin'lin
受得了	shou'de'liao
重命名	chong'ming'ming
曾志伟	zeng'zhi'wei
谨慎地	jin'shen'de
什叶派	shi'ye'pai
曾国藩	zeng'guo'fan
弹钢琴	tan'gang'qin
迫击炮	pai'ji'pao
角斗士	jue'dou'shi
角斗	jue'dou
算得了	suan'de'liao
四重奏	si'chong'zou
三重奏	san'chong'zou
唐三藏	tang'san'zang
两重性	liang'chong'xing
仡佬族	ge'lao'zu
露马脚	lou'ma'jiao
劳什子	lao'shi'zi
简单地	jian'dan'de
够得着	gou'de'zhao
查良镛	zha'liang'yong
深深地	shen'shen'de
轻轻地	qing'qing'de
悄悄地	qiao'qiao'de
狠狠地	hen'hen'de
成功地	cheng'gong'de
默默地	mo'mo'de
清晰地	qing'xi'de
紧紧地	jin'jin'de
有效地	you'xiao'de
兴奋地	xing'fen'de
无奈地	wu'nai'de
迅速地	xun'su'de
更多地	geng'duo'de
激动地	ji'dong'de
热情地	re'qing'de
轻松地	qing'song'de
温柔地	wen'rou'de
努力地	nu'li'de
远远地	yuan'yuan'de
明显地	ming'xian'de
缓缓地	huan'huan'de
轻易地	qing'yi'de
积极地	ji'ji'de
深刻地	shen'ke'de
准确地	zhun'que'de
痛苦地	tong'ku'de
柏拉图	bo'la'tu
开心地	kai'xin'de
好奇地	hao'qi'de
巧妙地	qiao'miao'de
自由地	zi'you'de
大大地	da'da'de
吃惊地	chi'jing'de
严肃地	yan'su'de
完美地	wan'mei'de
明确地	ming'que'de
牢牢地	lao'lao'de
及时地	ji'shi'de
无情地	wu'qing'de
充分地	chong'fen'de
大胆地	da'dan'de
冷静地	leng'jing'de
彻底地	che'di'de
有力地	you'li'de
微微地	wei'wei'de
幸运地	xing'yun'de
用得着	yong'de'zhao
正确地	zheng'que'de
亲切地	qin'qie'de
方便地	fang'bian'de
不安地	bu'an'de
愤怒地	fen'nu'de
愉快地	yu'kuai'de
白蛇传	bai'she'zhuan
坚决地	jian'jue'de
全面地	quan'mian'de
孤独地	gu'du'de
骄傲地	jiao'ao'de
什邡市	shi'fang'shi
客观地	ke'guan'de
惊恐地	jing'kong'de
肯定地	ken'ding'de
盲目地	mang'mu'de
恭敬地	gong'jing'de
合理地	he'li'de
坚强地	jian'qiang'de
高高地	gao'gao'de
尽情地	jin'qing'de
逐渐地	zhu'jian'de
细心地	xi'xin'de
自豪地	zi'hao'de
伤心地	shang'xin'de
间接地	jian'jie'de
紧密地	jin'mi'de
人为地	ren'wei'de
机械地	ji'xie'de
敏锐地	min'rui'de
气愤地	qi'fen'de
贪婪地	tan'lan'de
调皮地	tiao'pi'de
果断地	guo'duan'de
持续地	chi'xu'de
暗暗地	an'an'de
直接地	zhi'jie'de
衷心地	zhong'xin'de
弹吉他	tan'ji'ta
完全地	wan'quan'de
痛快地	tong'kuai'de
稳定地	wen'ding'de
白白地	bai'bai'de
同样地	tong'yang'de
沮丧地	ju'sang'de
猛烈地	meng'lie'de
胡乱地	hu'luan'de
严厉地	yan'li'de
放肆地	fang'si'de
粗暴地	cu'bao'de
严格地	yan'ge'de
灵活地	ling'huo'de
精确地	jing'que'de
惊异地	jing'yi'de
习惯地	xi'guan'de
开小差	kai'xiao'chai
关切地	guan'qie'de
直观地	zhi'guan'de
热切地	re'qie'de
冷漠地	leng'mo'de
抱歉地	bao'qian'de
笔直地	bi'zhi'de
满满地	man'man'de
满足地	man'zu'de
匆忙地	cong'mang'de
顺从地	shun'cong'de
好意地	hao'yi'de
热心地	re'xin'de
相反地	xiang'fan'de
为难地	wei'nan'de
露一手	lou'yi'shou
藏红花	zang'hong'hua
经常地	jing'chang'de
羡慕地	xian'mu'de
犯得着	fan'de'zhao
难过地	nan'guo'de
含蓄地	han'xu'de
粗略地	cu'lue'de
低声地	di'sheng'de
片面地	pian'mian'de
切实地	qie'shi'de
执拗地	zhi'niu'de
无耻地	wu'chi'de
偶然地	ou'ran'de
加倍地	jia'bei'de
灵巧地	ling'qiao'de
一致地	yi'zhi'de
快活地	kuai'huo'de
辩证地	bian'zheng'de
镇静地	zhen'jing'de
恳切地	ken'qie'de
故意地	gu'yi'de
妥善地	tuo'shan'de
沉痛地	chen'tong'de
藏青色	zang'qing'se
羞怯地	xiu'qie'de
固定地	gu'ding'de
急剧地	ji'ju'de
发重了	fa'chong'le
数得着	shu'de'zhao
重定向	chong'ding'xiang
纪传体	ji'zhuan'ti
个别地	ge'bie'de
黄澄澄	huang'deng'deng
和稀泥	huo'xi'ni
轻浮地	qing'fu'de
爽快地	shuang'kuai'de
自然地	zi'ran'de
很快地	hen'kuai'de
更好地	geng'hao'de
小声地	xiao'sheng'de
大声地	da'sheng'de
清楚地	qing'chu'de
极大地	ji'da'de
坚定地	jian'ding'de
偷偷地	tou'tou'de
疯狂地	feng'kuang'de
勇敢地	yong'gan'de
意外地	yi'wai'de
缓慢地	huan'man'de
懊恼地	ao'nao'de
草草地	cao'cao'de
系统地	xi'tong'de
悠闲地	you'xian'de
虔诚地	qian'cheng'de
和蔼地	he'ai'de
频繁地	pin'fan'de
顺利地	shun'li'de
本能地	ben'neng'de
耐心地	nai'xin'de
小心地	xiao'xin'de
主动地	zhu'dong'de
深入地	shen'ru'de
礼貌地	li'mao'de
顽强地	wan'qiang'de
广泛地	guang'fan'de
迟疑地	chi'yi'de
一滴血	yi'di'xie
艰难地	jian'nan'de
乐观地	le'guan'de
不懈地	bu'xie'de
熟练地	shu'lian'de
乖乖地	guai'guai'de
动态地	dong'tai'de
牢固地	lao'gu'de
秘密地	mi'mi'de
简要地	jian'yao'de
敏捷地	min'jie'de
悲伤地	bei'shang'de
愚蠢地	yu'chun'de
滑稽地	hua'ji'de
徒劳地	tu'lao'de
由衷地	you'zhong'de
安全地	an'quan'de
遗憾地	yi'han'de
焦急地	jiao'ji'de
公开地	gong'kai'de
镜泊湖	jing'po'hu
惊讶地	jing'ya'de
明智地	ming'zhi'de
庄严地	zhuang'yan'de
固执地	gu'zhi'de
消极地	xiao'ji'de
幸福地	xing'fu'de
顽固地	wan'gu'de
担心地	dan'xin'de
圆满地	yuan'man'de
惊奇地	jing'qi'de
反复地	fan'fu'de
残忍地	can'ren'de
特意地	te'yi'de
冷冷地	leng'leng'de
得意地	de'yi'de
满意地	man'yi'de
吃力地	chi'li'de
轻蔑地	qing'mie'de
傲慢地	ao'man'de
热烈地	re'lie'de
卑劣地	bei'lie'de
猜疑地	cai'yi'de
含糊地	han'hu'de
狡猾地	jiao'hua'de
剧烈地	ju'lie'de
体面地	ti'mian'de
尖锐地	jian'rui'de
认真地	ren'zhen'de
无助地	wu'zhu'de
堰塞湖	yan'se'hu
曾庆红	zeng'qing'hong
张柏芝	zhang'bo'zhi
无力地	wu'li'de
李昌镐	li'chang'hao
曾宝仪	zeng'bao'yi
了如指掌	liao'ru'zhi'zhang
神出鬼没	shen'chu'gui'mo
怎么得了	zen'me'de'liao
时不时地	shi'bu'shi'de
没完没了	mei'wan'mei'liao
深恶痛绝	shen'wu'tong'jue
南无	na'mo
藏南	zang'nan
藏喜马拉雅	zang'xi'ma'la'ya
藏医	zang'yi
藏药	zang'yao
藏胞	zang'bao
汉藏	han'zang
川藏	chuan'zang
滇藏	dian'zang
新藏	xin'zang
蒙藏	meng'zang
藏缅	zang'mian
藏原羚	zang'yuan'ling
藏羚羊	zang'ling'yang
未雨绸缪	wei'yu'chou'mou
审时度势	shen'shi'duo'shi
功不可没	gong'bu'ke'mo
克什米尔	ke'shi'mi'er
全军覆没	quan'jun'fu'mo
有朝一日	you'zhao'yi'ri
人头攒动	ren'tou'cuan'dong
铤而走险	ting'er'zou'xian
直截了当	zhi'jie'liao'dang
朝花夕拾	zhao'hua'xi'shi
众矢之的	zhong'shi'zhi'di
茅塞顿开	mao'se'dun'kai
有的放矢	you'di'fang'shi
鬼使神差	gui'shi'shen'chai
波罗的海	bo'luo'di'hai
重蹈覆辙	chong'dao'fu'zhe
朝日新闻	zhao'ri'xin'wen
厚此薄彼	hou'ci'bo'bi
重见天日	chong'jian'tian'ri
朝思暮想	zhao'si'mu'xiang
势单力薄	shi'dan'li'bo
重操旧业	chong'cao'jiu'ye
大腹便便	da'fu'pian'pian
爱新觉罗	ai'xin'jue'luo
影影绰绰	ying'ying'chuo'chuo
朝令夕改	zhao'ling'xi'gai
一了百了	yi'liao'bai'liao
引吭高歌	yin'hang'gao'ge
故地重游	gu'di'chong'you
风姿绰约	feng'zi'chuo'yue
破镜重圆	po'jing'chong'yuan
重归于好	chong'gui'yu'hao
无的放矢	wu'di'fang'shi
朝不保夕	zhao'bu'bao'xi
藏传佛教	zang'chuan'fo'jiao
小事化了	xiao'shi'hua'liao
义薄云天	yi'bo'yun'tian
一丘之貉	yi'qiu'zhi'he
绰绰有余	chuo'chuo'you'yu
旧地重游	jiu'di'chong'you
朝九晚五	zhao'jiu'wan'wu
树碑立传	shu'bei'li'zhuan
弹指之间	tan'zhi'zhi'jian
万头攒动	wan'tou'cuan'dong
重峦叠嶂	chong'luan'die'zhang
弹冠相庆	tan'guan'xiang'qing
下意识地	xia'yi'shi'de
尽可能地	jin'ke'neng'de
一个劲地	yi'ge'jin'de
笑嘻嘻地	xiao'xi'xi'de
重出江湖	chong'chu'jiang'hu
有意识地	you'yi'shi'de
不经意地	bu'jing'yi'de
懒洋洋地	lan'yang'yang'de
兴冲冲地	xing'chong'chong'de
赤裸裸地	chi'luo'luo'de
一笑了之	yi'xiao'liao'zhi
无条件地	wu'tiao'jian'de
朝三暮四	zhao'san'mu'si
笑呵呵地	xiao'he'he'de
朝朝暮暮	zhao'zhao'mu'mu
进一步地	jin'yi'bu'de
咯咯地笑	ge'ge'de'xiao
笑盈盈地	xiao'ying'ying'de
拾级而上	she'ji'er'shang
吴王夫差	wu'wang'fu'chai
日薄西山	ri'bo'xi'shan
羽扇纶巾	yu'shan'guan'jin
好逸恶劳	hao'yi'wu'lao
心宽体胖	xin'kuan'ti'pan
吃里扒外	chi'li'pa'wai
一死了之	yi'si'liao'zhi
山重水复	shan'chong'shui'fu
朝秦暮楚	zhao'qin'mu'chu
喷薄欲出	pen'bo'yu'chu
一语破的	yi'yu'po'di
广种薄收	guang'zhong'bo'shou
不见经传	bu'jian'jing'zhuan
潜意识地	qian'yi'shi'de
以己度人	yi'ji'duo'ren
厚古薄今	hou'gu'bo'jin
重起炉灶	chong'qi'lu'zao
朝发夕至	zhao'fa'xi'zhi
顿开茅塞	dun'kai'mao'se
兔起鹘落	tu'qi'hu'luo
没齿不忘	mo'chi'bu'wang
心广体胖	xin'guang'ti'pan
厚今薄古	hou'jin'bo'gu
旧调重弹	jiu'diao'chong'tan
很容易地	hen'rong'yi'de
度德量力	duo'de'liang'li
灭此朝食	mie'ci'zhao'shi
挟嫌报复	xie'xian'bao'fu
箪食瓢饮	dan'si'piao'yin
朝闻夕死	zhao'wen'xi'si
日月重光	ri'yue'chong'guang
朝过夕改	zhao'guo'xi'gai
薄技在身	bo'ji'zai'shen
尖嘴薄舌	jian'zui'bo'she
水泊梁山	shui'po'liang'shan
闭目塞听	bi'mu'se'ting
朝歌暮舞	zhao'ge'mu'wu
笑眯眯地	xiao'mi'mi'de
拔山扛鼎	ba'shan'gang'ding
拱手而降	gong'shou'er'xiang
以珠弹雀	yi'zhu'tan'que
射雕英雄传	she'diao'ying'xiong'zhuan
三国群英传	san'guo'qun'ying'zhuan
布尔什维克	bu'er'shi'wei'ke
一物降一物	yi'wu'xiang'yi'wu
度君子之腹	duo'jun'zi'zhi'fu
不由自主地	bu'you'zi'zhu'de
仙剑奇侠传	xian'jian'qi'xia'zhuan
漫不经心地	man'bu'jing'xin'de
摇摇晃晃地	yao'yao'huang'huang'de
气势汹汹地	qi'shi'xiong'xiong'de
最大限度地	zui'da'xian'du'de
无缘无故地	wu'yuan'wu'gu'de
一五一十地	yi'wu'yi'shi'de
低声下气地	di'sheng'xia'qi'de
了解	liao'jie
觉得	jue'de
目的	mu'di
重新	chong'xin
感觉	gan'jue
音乐	yin'yue
自然	Zi'ran
银行	yin'hang
增长	zeng'zhang
调整	tiao'zheng
给予	ji'yu
行业	hang'ye
校长	xiao'zhang
自觉	zi'jue
仿佛	fang'fu
协调	xie'tiao
似的	shi'de
的确	di'que
首都	shou'du
成长	cheng'zhang
家长	jia'zhang
仔细	zi'xi
生长	sheng'zhang
乳臭	ru'xiu
率领	shuai'ling
角色	jue'se
重复	chong'fu
呼吁	hu'yu
蔓儿	wan'er
着眼	zhuo'yan
大夫	dai'fu
调节	tiao'jie
调控	tiao'kong
率先	shuai'xian
仰给	yang'ji
着手	zhuo'shou
会计	kuai'ji
大都	da'du
毡帐	gu'zhang
重组	chong'zu
着力	zhuo'li
柞木	zuo'mu
重申	chong'shen
议长	yi'zhang
模样	mu'yang
薄田	bo'tian
供给	gong'ji
薄弱	bo'ruo
便宜	pian'yi
着重	zhuo'zhong
着急	zhao'ji
调解	tiao'jie
穿着	chuan'zhuo
长官	zhang'guan
掉色	diao'shai
行列	hang'lie
钥匙	yao'shi
同行	tong'hang
空调	kong'tiao
没收	mo'shou
都市	du'shi
投降	tou'xiang
谁知	shei'zhi
强劲	qiang'jing
重重	chong'chong
师长	shi'zhang
颜色	yan'shai
双重	shuang'chong
衣裳	yi'shang
扒鸡	pa'ji
首长	shou'zhang
觉悟	jue'wu
藏族	zang'zu
咳嗽	ke'sou
莎草	suo'cao
主角	zhu'jue
柏林	bo'lin
剥削	bo'xue
剥夺	bo'duo
都会	du'hui
乐池	yue'chi
明朝	ming'zhao
朝阳	zhao'yang
曝光	bao'guang
打的	da'di
总长	zong'zhang
着想	zhuo'xiang
视觉	shi'jue
角逐	jue'zhu
重张	chong'zhang
湖泊	hu'po
发觉	fa'jue
淹没	yan'mo
弹性	tan'xing
畜牧	xu'mu
埋怨	man'yuan
堵塞	du'se
偿还	chang'huan
总得	zong'dei
出差	chu'chai
的当	di'dang
表率	biao'shuai
行帮	hang'bang
伺候	ci'hou
乐器	yue'qi
还情	huan'qing
厌恶	yan'wu
乐团	yue'tuan
反省	fan'xing
劲升	jing'sheng
萝卜	luo'bo
库藏	ku'zang
沉着	chen'zhuo
对称	dui'chen
没世	mo'shi
乐曲	yue'qu
乐队	yue'dui
炮烙	pao'luo
退还	tui'huan
参商	shen'shang
归还	gui'huan
反弹	fan'tan
虐待	nue'dai
侥幸	jiao'xing
直觉	zhi'jue
央行	yang'hang
着实	zhuo'shi
称职	chen'zhi
藏蓝	zang'lan
京都	jing'du
办差	ban'chai
长子	zhang'zi
薄葬	bo'zang
参校	can'jiao
坦率	tan'shuai
出圈	chu'juan
察觉	cha'jue
淡薄	dan'bo
传记	zhuan'ji
调配	tiao'pei
辗转	zhan'zhuan
哽咽	geng'ye
觉醒	jue'xing
出血	chu'xie
下调	xia'tiao
行情	hang'qing
知觉	zhi'jue
咱俩	zan'lia
工尺	gong'che
助长	zhu'zhang
行货	hang'huo
完了	wan'liao
还原	huan'yuan
执著	zhi'zhuo
执着	zhi'zhuo
调和	tiao'he
觉察	jue'cha
泄露	xie'lou
相称	xiang'chen
便宜	pian'yi
警觉	jing'jue
长辈	zhang'bei
薄荷	bo'he
咀嚼	ju'jue
朝气	zhao'qi
非得	fei'dei
返还	fan'huan
调试	tiao'shi
削面	xiao'mian
暖和	nuan'huo
船长	chuan'zhang
夯实	hang'shi
幽咽	you'ye
衣着	yi'zhuo
明了	ming'liao
标的	biao'di
可恶	ke'wu
澄清	Cheng'qing
倔强	jue'jiang
乐章	yue'zhang
听差	ting'chai
字模	zi'mu
柞蚕	zuo'can
悲咽	bei'ye
幻觉	huan'jue
差事	chai'shi
调剂	tiao'ji
重叠	chong'die
地壳	di'qiao
露面	lou'mian
呜咽	wu'ye
复辟	fu'bi
着落	zhuo'luo
着陆	zhuo'lu
失调	shi'tiao
补给	bu'ji
绰号	chuo'hao
重演	chong'yan
亲家	qing'jia
内行	nei'hang
隽语	juan'yu
剥离	bo'li
了结	liao'jie
调皮	tiao'pi
声乐	sheng'yue
变色	bian'shai
单薄	dan'bo
尿血	niao'xie
调处	tiao'chu
末了	mo'liao
劲旅	jing'lv
动弹	dong'tan
行家	hang'jia
出没	chu'mo
没落	mo'luo
人参	ren'shen
线呢	xian'ni
咋办	ze'ban
酋长	qiu'zhang
薄膜	bo'mo
着火	zhao'huo
沉没	chen'mo
芫荽	yan'sui
外行	wai'hang
弹劾	tan'he
长者	zhang'zhe
都城	du'cheng
闭塞	bi'se
提防	di'fang
浅薄	qian'bo
听觉	ting'jue
相率	xiang'shuai
疟疾	nue'ji
古都	gu'du
恐吓	kong'he
重影	chong'ying
得亏	dei'kui
芥蓝	gai'lan
着装	zhuo'zhuang
民乐	min'yue
露底	lou'di
朝日	zhao'ri
长相	zhang'xiang
吐蕃	tu'bo
了事	liao'shi
行当	hang'dang
栅栏	zha'lan
刨子	bao'zi
胳臂	ge'bei
罢了	ba'liao
一朝	yi'zhao
阻塞	zu'se
咱家	za'jia
西乐	xi'yue
自传	zi'zhuan
必得	bi'dei
附着	fu'zhuo
弹簧	tan'huang
发卡	fa'qia
财会	cai'kuai
疟子	yao'zi
憎恶	zeng'wu
错觉	cuo'jue
调停	tiao'ting
喳喳	cha'cha
游说	you'shui
毕剥	bi'bo
弄堂	long'tang
刹车	sha'che
自给	zi'ji
调侃	tiao'kan
沓子	da'zi
滋长	zi'zhang
长势	zhang'shi
绸缪	chou'mou
直率	zhi'shuai
大略	da'lue
重逢	chong'feng
怎的	zen'di
还债	huan'zhai
校正	jiao'zheng
交还	jiao'huan
包扎	bao'za
络子	lao'zi
落枕	lao'zhen
了得	liao'de
槟榔	bing'lang
模具	mu'ju
配角	pei'jue
微薄	wei'bo
傀儡	kui'lei
学长	xue'zhang
刹把	sha'ba
嗅觉	xiu'jue
还击	huan'ji
罚没	fa'mo
烹调	peng'tiao
稀薄	xi'bo
巷道	hang'dao
今朝	jin'zhao
埋没	mai'mo
专差	zhuan'chai
当差	dang'chai
兄长	xiong'zhang
吞没	tun'mo
谁料	shei'liao
草率	cao'shuai
亢奋	kang'fen
刻薄	ke'bo
鸸鹋	li'miao
迁都	qian'du
宝藏	bao'zang
圈养	juan'yang
改行	gai'hang
著书	zhe'shu
夯歌	hang'ge
长孙	zhang'sun
夯土	hang'tu
高亢	gao'kang
轻率	qing'shuai
搪塞	tang'se
杉木	sha'mu
未了	wei'liao
劲歌	jing'ge
的士	di'shi
碌碡	liu'zhou
露富	lou'fu
黏着	nian'zhuo
着迷	zhao'mi
器乐	qi'yue
重围	chong'wei
国都	guo'du
褪色	tui'shai
要挟	yao'xie
迸飞	jin'fei
朝夕	zhao'xi
哀乐	ai'yue
爪子	zhua'zi
